Bairro,Azulejo-Código,Procedência,Fábrica,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Rua Marques de Pombal n°44/46 e 48; Travessa Leão XIII n° 52 e s/n°; Rua 13 de Maio n° 510/512/514; Travessa Frutuoso Guimarães n° 329 e 482; Rua Santo Antônio n° 14/20 e 135/155; Travessa Gurupá n° 178; Travessa Rui Barbosa n° 819, 825, 1063, 1069, 1071; Rua Ó de Almeida n° 618 e 793; Rua Tiradentes n° 514; Travessa Piedade n° 342, 346 e s/n°; Rua Aristides Lobo n° 145; Rua Cametá n° 50","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Rua Marques de Pombal n°44/46 e 48; Travessa Leão XIII n° 52 e s/n°; Rua 13 de Maio n° 510/512/514; Travessa Frutuoso Guimarães n° 329 e 482; Rua Santo Antônio n° 14/20 e 135/155; Travessa Gurupá n° 178; Travessa Rui Barbosa n° 819, 825, 1063, 1069, 1071; Rua Ó de Almeida n° 618 e 793; Rua Tiradentes n° 514; Travessa Piedade n° 342, 346 e s/n°; Rua Aristides Lobo n° 145; Rua Cametá n° 50","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,,
"Reduto, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Rua Marques de Pombal n°44/46 e 48; Travessa Leão XIII n° 52 e s/n°; Rua 13 de Maio n° 510/512/514; Travessa Frutuoso Guimarães n° 329 e 482; Rua Santo Antônio n° 14/20 e 135/155; Travessa Gurupá n° 178; Travessa Rui Barbosa n° 819, 825, 1063, 1069, 1071; Rua Ó de Almeida n° 618 e 793; Rua Tiradentes n° 514; Travessa Piedade n° 342, 346 e s/n°; Rua Aristides Lobo n° 145; Rua Cametá n° 50","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,,
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Rua Marques de Pombal n°44/46 e 48; Travessa Leão XIII n° 52 e s/n°; Rua 13 de Maio n° 510/512/514; Travessa Frutuoso Guimarães n° 329 e 482; Rua Santo Antônio n° 14/20 e 135/155; Travessa Gurupá n° 178; Travessa Rui Barbosa n° 819, 825, 1063, 1069, 1071; Rua Ó de Almeida n° 618 e 793; Rua Tiradentes n° 514; Travessa Piedade n° 342, 346 e s/n°; Rua Aristides Lobo n° 145; Rua Cametá n° 50","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,,
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 2-2-3,Lisboa/Portugal,Constância (Consta do Catalogo de J. Lino de 1889),"13,3 x 13,3cm",Cerâmica e vidrado Estampilha,"Travessa Pedro Albuquerque n° 271; Travessa Benjamin Constant n° 1035, 1041 e 1047; Avenida Governador José Malcher s/n° e 453; Rua Cametá n° 107 e Avenida Gentil Bittencourt n° 1102","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,13.3,,
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 2-2-3,Lisboa/Portugal,Constância (Consta do Catalogo de J. Lino de 1889),"13,3 x 13,3cm",Cerâmica e vidrado Estampilha,"Travessa Pedro Albuquerque n° 271; Travessa Benjamin Constant n° 1035, 1041 e 1047; Avenida Governador José Malcher s/n° e 453; Rua Cametá n° 107 e Avenida Gentil Bittencourt n° 1102","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,13.3,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 5-1-1,Lisboa/Portugal,Viúva Lamego,"13,7 x 13,7cm",Cerâmica e vidrado Estampilha,Avenida Senador Lemos n° 573; Rua Senador Manoel Barata n° 271; Rua 28 de Setembro n° 872,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.7,13.7,-1.4215822,-48.4817854
"Reduto, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 5-1-1,Lisboa/Portugal,Viúva Lamego,"13,7 x 13,7cm",Cerâmica e vidrado Estampilha,Avenida Senador Lemos n° 573; Rua Senador Manoel Barata n° 271; Rua 28 de Setembro n° 872,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.7,13.7,-1.4215822,-48.4817854
"Umarizal, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 5-1-1,Lisboa/Portugal,Viúva Lamego,"13,7 x 13,7cm",Cerâmica e vidrado Estampilha,Avenida Senador Lemos n° 573; Rua Senador Manoel Barata n° 271; Rua 28 de Setembro n° 872,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.7,13.7,-1.4215822,-48.4817854
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 6-1-1,Lisboa/Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 7-1-1,Portugal,,14 x 14cm,Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,,
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 7-2-2,Portugal,,"10,9 x 10,9cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",10.9,10.9,,
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 8-1-1,Lisboa/Portugal,Viúva Lamego,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Bailique n° 261; Travessa Frutuoso Guimarães n° 529; Rua Domingos Marreiros n°279; Rua Diogo Moia n° 1101; Travessa Alenquer n° 146, 162 e 168; Rua Dr. Malcher n° 106; Travessa Quintino Bocaiúva n° 932/946; Rua Senador Manoel Barata n° 848; Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489; Avenida Governador José Malcher n° 484 e 676; Avenida Portugal n° 183; Avenida 16 de Novembro n° 107; Rua Rodrigues dos Santos n° 305; Rua Cametá n° 55; Travessa Campos Sales n° 300/306/308/312; Rua 13 de Maio n° 81/83/85/89; Rua 28 de Setembro n° 328; Avenida Castilhos França n° 738; Travessa Benjamin Constant n° 1415; Rua João Balby n° 325; Avenida Castelo Branco n° 761 e 1221; Avenida Alcindo Cacela n° 1619","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 8-1-1,Lisboa/Portugal,Viúva Lamego,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Bailique n° 261; Travessa Frutuoso Guimarães n° 529; Rua Domingos Marreiros n°279; Rua Diogo Moia n° 1101; Travessa Alenquer n° 146, 162 e 168; Rua Dr. Malcher n° 106; Travessa Quintino Bocaiúva n° 932/946; Rua Senador Manoel Barata n° 848; Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489; Avenida Governador José Malcher n° 484 e 676; Avenida Portugal n° 183; Avenida 16 de Novembro n° 107; Rua Rodrigues dos Santos n° 305; Rua Cametá n° 55; Travessa Campos Sales n° 300/306/308/312; Rua 13 de Maio n° 81/83/85/89; Rua 28 de Setembro n° 328; Avenida Castilhos França n° 738; Travessa Benjamin Constant n° 1415; Rua João Balby n° 325; Avenida Castelo Branco n° 761 e 1221; Avenida Alcindo Cacela n° 1619","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,,
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 8-1-1,Lisboa/Portugal,Viúva Lamego,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Bailique n° 261; Travessa Frutuoso Guimarães n° 529; Rua Domingos Marreiros n°279; Rua Diogo Moia n° 1101; Travessa Alenquer n° 146, 162 e 168; Rua Dr. Malcher n° 106; Travessa Quintino Bocaiúva n° 932/946; Rua Senador Manoel Barata n° 848; Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489; Avenida Governador José Malcher n° 484 e 676; Avenida Portugal n° 183; Avenida 16 de Novembro n° 107; Rua Rodrigues dos Santos n° 305; Rua Cametá n° 55; Travessa Campos Sales n° 300/306/308/312; Rua 13 de Maio n° 81/83/85/89; Rua 28 de Setembro n° 328; Avenida Castilhos França n° 738; Travessa Benjamin Constant n° 1415; Rua João Balby n° 325; Avenida Castelo Branco n° 761 e 1221; Avenida Alcindo Cacela n° 1619","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,,
"Umarizal, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 8-1-1,Lisboa/Portugal,Viúva Lamego,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Bailique n° 261; Travessa Frutuoso Guimarães n° 529; Rua Domingos Marreiros n°279; Rua Diogo Moia n° 1101; Travessa Alenquer n° 146, 162 e 168; Rua Dr. Malcher n° 106; Travessa Quintino Bocaiúva n° 932/946; Rua Senador Manoel Barata n° 848; Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489; Avenida Governador José Malcher n° 484 e 676; Avenida Portugal n° 183; Avenida 16 de Novembro n° 107; Rua Rodrigues dos Santos n° 305; Rua Cametá n° 55; Travessa Campos Sales n° 300/306/308/312; Rua 13 de Maio n° 81/83/85/89; Rua 28 de Setembro n° 328; Avenida Castilhos França n° 738; Travessa Benjamin Constant n° 1415; Rua João Balby n° 325; Avenida Castelo Branco n° 761 e 1221; Avenida Alcindo Cacela n° 1619","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,,
"São Brás, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 8-1-1,Lisboa/Portugal,Viúva Lamego,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Bailique n° 261; Travessa Frutuoso Guimarães n° 529; Rua Domingos Marreiros n°279; Rua Diogo Moia n° 1101; Travessa Alenquer n° 146, 162 e 168; Rua Dr. Malcher n° 106; Travessa Quintino Bocaiúva n° 932/946; Rua Senador Manoel Barata n° 848; Avenida Nazaré n° 427, 435, 441, 449, 457, 463 e 489; Avenida Governador José Malcher n° 484 e 676; Avenida Portugal n° 183; Avenida 16 de Novembro n° 107; Rua Rodrigues dos Santos n° 305; Rua Cametá n° 55; Travessa Campos Sales n° 300/306/308/312; Rua 13 de Maio n° 81/83/85/89; Rua 28 de Setembro n° 328; Avenida Castilhos França n° 738; Travessa Benjamin Constant n° 1415; Rua João Balby n° 325; Avenida Castelo Branco n° 761 e 1221; Avenida Alcindo Cacela n° 1619","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,,
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 10-2-1,Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 12-1-1,"Provavelmente 
Lisboa/Portugal",,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 16-1-1,Porto/Portugal,"Fabrica Santo Antonio 
Apelido: Barba de Gato","13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 175/179, 163/185 e 187/191; Avenida Gentil Bittencourt n° 57 e 231; 
Rua Tomazia Perdigão n° 62; Rua Arcipreste Manoel Teodoro n° 943","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4510368,-48.5010789
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 16-1-1,Porto/Portugal,"Fabrica Santo Antonio 
Apelido: Barba de Gato","13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 175/179, 163/185 e 187/191; Avenida Gentil Bittencourt n° 57 e 231; 
Rua Tomazia Perdigão n° 62; Rua Arcipreste Manoel Teodoro n° 943","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4510368,-48.5010789
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 16-1-1,Porto/Portugal,"Fabrica Santo Antonio 
Apelido: Barba de Gato","13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n° 175/179, 163/185 e 187/191; Avenida Gentil Bittencourt n° 57 e 231; 
Rua Tomazia Perdigão n° 62; Rua Arcipreste Manoel Teodoro n° 943","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4510368,-48.5010789
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 16-2-1,Porto/Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Rua Senador Manoel Barata n° 136,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.450417,-48.4971926
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 17-1-1,Porto/Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Rua Osvaldo Cruz n° 165/166; Travessa Frei Gil de Vila  Nova n° 166,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4092965,-48.3974448
"Umarizal, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 18-2-1,Lisboa/Portugal,Calçada dos Cesteiros ou Roseira,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Avenida Senador Lemos n° 762; Rua XV de Novembro n° 314 e 324,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4309975,-48.4837657
"Comércio, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 18-2-1,Lisboa/Portugal,Calçada dos Cesteiros ou Roseira,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Avenida Senador Lemos n° 762; Rua XV de Novembro n° 314 e 324,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4309975,-48.4837657
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 19-1-2,Lisboa/Portugal,Viúva Lamego,"13,6 x 13,6cm",Cerâmica e vidrado Estampilha,"Rua Ó de Almeida n° 43, Avenida Castilho França n° 42; Rua 13 de Maio n° 194","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.6,13.6,-1.4515412,-48.4973671
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 22-1-1,Porto/Portugal,A.A.Costa & C Fa das Devezas de Vila Nova de Gaia,14 x 14cm,Cerâmica e vidrado Estampilha,Travessa Padre Eutiquio n° 1536,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4693734,-48.4791116
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 23-1-1,"Provavelmente 
Lisboa/Portugal",,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 23-2-2,Porto/Portugal,A.A.Costa & C Fa das Devezas de Vila Nova de Gaia ou Santo Antonio do Vale da Piedade,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Travessa Campos Sales n° 400 e 477 (Entre Rua Senador Manoel Barata e Rua Ó de Almeida),"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-2.2375681,-49.4984588
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 25-2-2,Lisboa/Portugal,"Viúva Lamego 
Apelido: Bicha da Praça","13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Avenida 16 de Novembro n° 791,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.1327089,-48.4566988
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 25-3-1,"Provavelmente 
Portugal",José Pereira Valente (JPV),14x14cm,Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,,
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 25-3-3,Lisboa e Porto/Portugal,Calçada dos Cesteiros(Roseira) Devezas e Carvalhinho,13x13cm,Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,,
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 27-2-1,Porto/Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 31-1-4,Lisboa/Portugal,Viúva Lamego e Calçada dos Cesteiros(Roseira),"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
